PERMNO,date,SHRCD,EXCHCD,SICCD,TICKER,COMNAM,SHRCLS,PRC,VOL,RET,SHROUT,NUMTRD,sprtrn
14593,19930803,11,3,3573,AAPL,APPLE COMPUTER INC,,29.00000,1583277,0.017544,115614,1912,-0.001955
14593,19930804,11,3,3573,AAPL,APPLE COMPUTER INC,,30.25000,2177295,0.043103,115614,2233,-0.001625
14593,19930805,11,3,3573,AAPL,APPLE COMPUTER INC,,29.50000,1877292,-0.024793,115614,2058,-0.000914
14593,19930806,11,3,3573,AAPL,APPLE COMPUTER INC,,29.25000,1128794,-0.008475,115614,1118,0.001227
14593,19930809,11,3,3573,AAPL,APPLE COMPUTER INC,,29.75000,1445376,0.017094,115614,1156,0.004547
14593,19930810,11,3,3573,AAPL,APPLE COMPUTER INC,,28.50000,1368721,-0.042017,115614,1353,-0.002818
14593,19930811,11,3,3573,AAPL,APPLE COMPUTER INC,,27.50000,1495570,-0.035088,115614,1550,0.002247
14593,19930812,11,3,3573,AAPL,APPLE COMPUTER INC,,26.50000,3025190,-0.036364,115614,2001,-0.003330
14593,19930813,11,3,3573,AAPL,APPLE COMPUTER INC,,27.37500,1243766,0.033019,115614,1097,0.002628
14593,19930816,11,3,3573,AAPL,APPLE COMPUTER INC,,27.50000,918016,0.008950,115614,891,0.004976
14593,19930817,11,3,3573,AAPL,APPLE COMPUTER INC,,28.37500,969880,0.031818,115614,930,0.001658
14593,19930818,11,3,3573,AAPL,APPLE COMPUTER INC,,28.50000,1690745,0.004405,115614,1421,0.006422
14593,19930819,11,3,3573,AAPL,APPLE COMPUTER INC,,27.50000,1361983,-0.035088,115614,1058,0.000855
14593,19930820,11,3,3573,AAPL,APPLE COMPUTER INC,,28.00000,895533,0.018182,115614,958,-0.000592
14593,19930823,11,3,3573,AAPL,APPLE COMPUTER INC,,28.37500,817438,0.013393,115614,664,-0.002039
14593,19930824,11,3,3573,AAPL,APPLE COMPUTER INC,,28.00000,907969,-0.013216,115614,870,0.009973
14593,19930825,11,3,3573,AAPL,APPLE COMPUTER INC,,27.25000,1305269,-0.026786,115614,1073,0.000783
14593,19930826,11,3,3573,AAPL,APPLE COMPUTER INC,,26.87500,1576159,-0.013761,115614,945,0.001978
14593,19930827,11,3,3573,AAPL,APPLE COMPUTER INC,,26.50000,1669272,-0.013953,115614,1113,-0.001085
14593,19930830,11,3,3573,AAPL,APPLE COMPUTER INC,,26.00000,2447677,-0.018868,115614,1267,0.002953
14593,19930831,11,3,3573,AAPL,APPLE COMPUTER INC,,26.50000,1144595,0.019231,115614,938,0.003594
14593,19930901,11,3,3573,AAPL,APPLE COMPUTER INC,,26.12500,2018351,-0.014151,115614,1582,-0.000884
14593,19930902,11,3,3573,AAPL,APPLE COMPUTER INC,,25.75000,2542883,-0.014354,115614,1846,-0.003994
14593,19930903,11,3,3573,AAPL,APPLE COMPUTER INC,,25.75000,1458359,0.000000,115614,1124,0.000087
14593,19930907,11,3,3573,AAPL,APPLE COMPUTER INC,,26.25000,1286862,0.019417,115614,1285,-0.006113
14593,19930908,11,3,3573,AAPL,APPLE COMPUTER INC,,26.75000,2027537,0.019048,115614,967,-0.004078
14593,19930909,11,3,3573,AAPL,APPLE COMPUTER INC,,26.00000,1338889,-0.028037,115614,1040,0.001861
14593,19930910,11,3,3573,AAPL,APPLE COMPUTER INC,,26.25000,1204973,0.009615,115614,993,0.009224
14593,19930913,11,3,3573,AAPL,APPLE COMPUTER INC,,25.25000,2298521,-0.038095,115614,2360,0.000736
14593,19930914,11,3,3573,AAPL,APPLE COMPUTER INC,,24.25000,2475737,-0.039604,115614,2063,-0.004675
14593,19930915,11,3,3573,AAPL,APPLE COMPUTER INC,,24.50000,2319223,0.010309,115614,1982,0.003696
14593,19930916,11,3,3573,AAPL,APPLE COMPUTER INC,,24.75000,803032,0.010204,115614,913,-0.004701
14593,19930917,11,3,3573,AAPL,APPLE COMPUTER INC,,25.25000,1540825,0.020202,115614,1123,-0.001306
14593,19930920,11,3,3573,AAPL,APPLE COMPUTER INC,,24.87500,993506,-0.014851,115614,858,-0.008238
14593,19930921,11,3,3573,AAPL,APPLE COMPUTER INC,,24.50000,1310740,-0.015075,115614,1215,-0.004615
14593,19930922,11,3,3573,AAPL,APPLE COMPUTER INC,,25.50000,990717,0.040816,115614,886,0.007175
14593,19930923,11,3,3573,AAPL,APPLE COMPUTER INC,,24.75000,1172208,-0.029412,115614,828,0.003376
14593,19930924,11,3,3573,AAPL,APPLE COMPUTER INC,,25.00000,687380,0.010101,116147,730,-0.000240
14593,19930927,11,3,3573,AAPL,APPLE COMPUTER INC,,24.75000,1024976,-0.010000,116147,898,0.009112
14593,19930928,11,3,3573,AAPL,APPLE COMPUTER INC,,24.75000,847745,0.000000,116147,928,-0.000585
14593,19930929,11,3,3573,AAPL,APPLE COMPUTER INC,,23.87500,2118376,-0.035354,116147,1358,-0.003077
14593,19930930,11,3,3573,AAPL,APPLE COMPUTER INC,,23.37500,2458534,-0.020942,116147,1598,-0.002565
14593,19931001,11,3,3573,AAPL,APPLE COMPUTER INC,,22.75000,3016496,-0.026738,116147,2035,0.005142
14593,19931004,11,3,3573,AAPL,APPLE COMPUTER INC,,22.75000,1726890,0.000000,116147,1689,0.000108
14593,19931005,11,3,3573,AAPL,APPLE COMPUTER INC,,23.50000,1590315,0.032967,116147,1458,-0.000303
14593,19931006,11,3,3573,AAPL,APPLE COMPUTER INC,,23.62500,1579966,0.005319,116147,1056,-0.000997
14593,19931007,11,3,3573,AAPL,APPLE COMPUTER INC,,23.00000,1208963,-0.026455,116147,1050,-0.003386
